"nr","time","Valandos","Prognoze","Skirtumas"
1722,2008.75,,625.970642088823,
1735,2008,,48,
1735,2008.25,,48,
1735,2008.5,,48,
1735,2008.75,,48,
1795,2008,480,132.320044760799,347.679955239201
1795,2008.25,488,126.126248911738,361.873751088262
1795,2008.5,512,125.018892988546,386.981107011454
1795,2008.75,501,83.3105035595498,417.68949644045
1852,2008,992,1502.28432587956,-510.284325879561
1852,2008.25,1050,1496.0905300305,-446.090530030501
1852,2008.5,1101,1495.72925231727,-394.729252317267
1852,2008.75,854,1319.09981233971,-465.099812339712
1880,2008,,647.082645885001,
1880,2008.25,,825.34829863261,
1880,2008.5,,4686.41178431125,
1880,2008.75,,9130.44454422849,
1895,2008,1676,1731.50286816065,-55.5028681606486
1895,2008.25,1614,1725.30907231159,-111.309072311588
1895,2008.5,1680,1725.43549362448,-45.4354936244843
1895,2008.75,1503,1672.5986991447,-169.598699144704
1899,2008,10581,9201.43070535373,1379.56929464627
1899,2008.25,10115,9774.82741066102,340.172589338981
1899,2008.5,9895,10148.0491143682,-253.049114368221
1899,2008.75,9367,10524.7957294249,-1157.79572942491
1902,2008,1639,2666.28758293862,-1027.28758293862
1902,2008.25,1753,2609.31958202242,-856.319582022422
1902,2008.5,1514,2498.78317633795,-984.783176337949
1902,2008.75,1531,2487.25656246147,-956.256562461475
1929,2008,1784,2513.32544300391,-729.32544300391
1929,2008.25,1677,2546.70305262851,-869.703052628509
1929,2008.5,1849,2671.86144064084,-822.861440640843
1929,2008.75,1958,2450.97980617328,-492.979806173284
1933,2008,,776.121750603265,
1933,2008.25,,772.839370152617,
1933,2008.5,,769.566677040971,
1933,2008.75,,604.146925285222,
1950,2008,,2671.46176222296,
1950,2008.25,,2639.91130065224,
1950,2008.5,,2842.14300805269,
1950,2008.75,,3023.97649372342,
2012,2008,,1409.77579103907,
2012,2008.25,,1147.63997565921,
2012,2008.5,,1096.36647279988,
2012,2008.75,,1488.48043980755,
2022,2008,3984,2711.95633186671,1272.04366813329
2022,2008.25,3299,2621.09334661829,677.906653381708
2022,2008.5,2004,1742.01699485331,261.983005146687
2022,2008.75,872,814.269225889668,57.730774110332
2128,2008,,5315.48472467658,
2128,2008.25,,8177.09500409983,
2128,2008.5,,9777.92089806768,
2128,2008.75,,5750.34194809582,
2213,2008,479,435.214011682848,43.7859883171524
2213,2008.25,480,429.020215833787,50.9797841662131
2213,2008.5,511,428.658938120553,82.3410618794468
2213,2008.75,476,258.140514727991,217.859485272009
2228,2008,638,499.922805195274,138.077194804726
2228,2008.25,775,493.307814732738,281.692185267262
2228,2008.5,699,492.636183093785,206.363816906215
2228,2008.75,500,491.961016272361,8.03898372763905
2245,2008,238,162.066199864343,75.933800135657
2245,2008.25,246,73.4750360248935,172.524963975106
2245,2008.5,255,29.1650676891443,225.834932310856
2245,2008.75,249,70.1579889665643,178.842011033436
2264,2008,,1474.2038125277,
2264,2008.25,,1687.67246770688,
2264,2008.5,,1508.37899702645,
2264,2008.75,,1503.67661854986,
2273,2008,443,1095.02845702727,-652.028457027267
2273,2008.25,416,765.374118964176,-349.374118964176
2273,2008.5,480,991.576972436833,-511.576972436833
2273,2008.75,370,757.036967795936,-387.036967795936
2274,2008,,1297.996301721,
2274,2008.25,,1471.39974296567,
2274,2008.5,,1523.90297693223,
2274,2008.75,,1518.28431543685,
2287,2008,,988.281156173592,
2287,2008.25,,918.410308413641,
2287,2008.5,,754.632577585347,
2287,2008.75,,792.532944952232,
2292,2008,,1136.43743221386,
